numero_ronda,jugador,IA,resultado,racha_victorias_jugador,racha_derrotas_jugador,racha_victorias_IA,racha_derrotas_IA,pct_piedra_jugador,pct_papel_jugador,pct_tijera_jugador,pct_piedra_IA,pct_papel_IA,pct_tijera_IA
1,papel,tijera,Derrota,0,1,1,0,0.0,100.0,0.0,0.0,0.0,100.0
2,piedra,piedra,Empate,0,0,0,0,50.0,50.0,0.0,50.0,0.0,50.0
3,piedra,tijera,Victoria,1,0,0,1,66.67,33.33,0.0,33.33,0.0,66.67
4,tijera,papel,Victoria,2,0,0,2,50.0,25.0,25.0,25.0,25.0,50.0
5,piedra,papel,Derrota,0,1,1,0,60.0,20.0,20.0,20.0,40.0,40.0
6,papel,papel,Empate,0,0,0,0,50.0,33.33,16.67,16.67,50.0,33.33
7,piedra,papel,Derrota,0,1,1,0,57.14,28.57,14.29,14.29,57.14,28.57
8,tijera,papel,Victoria,1,0,0,1,50.0,25.0,25.0,12.5,62.5,25.0
9,papel,papel,Empate,0,0,0,0,44.44,33.33,22.22,11.11,66.67,22.22
10,piedra,papel,Derrota,0,1,1,0,50.0,30.0,20.0,10.0,70.0,20.0
11,tijera,piedra,Derrota,0,2,2,0,45.45,27.27,27.27,18.18,63.64,18.18
12,tijera,papel,Victoria,1,0,0,1,41.67,25.0,33.33,16.67,66.67,16.67
13,papel,papel,Empate,0,0,0,0,38.46,30.77,30.77,15.38,69.23,15.38
14,piedra,papel,Derrota,0,1,1,0,42.86,28.57,28.57,14.29,71.43,14.29
15,papel,piedra,Victoria,1,0,0,1,40.0,33.33,26.67,20.0,66.67,13.33
16,tijera,papel,Victoria,2,0,0,2,37.5,31.25,31.25,18.75,68.75,12.5
17,papel,tijera,Derrota,0,1,1,0,35.29,35.29,29.41,17.65,64.71,17.65
18,tijera,papel,Victoria,1,0,0,1,33.33,33.33,33.33,16.67,66.67,16.67
19,papel,tijera,Derrota,0,1,1,0,31.58,36.84,31.58,15.79,63.16,21.05
20,tijera,papel,Victoria,1,0,0,1,30.0,35.0,35.0,15.0,65.0,20.0
21,tijera,tijera,Empate,0,0,0,0,28.57,33.33,38.1,14.29,61.9,23.81
22,papel,tijera,Derrota,0,1,1,0,27.27,36.36,36.36,13.64,59.09,27.27
23,piedra,papel,Derrota,0,2,2,0,30.43,34.78,34.78,13.04,60.87,26.09
24,tijera,piedra,Derrota,0,3,3,0,29.17,33.33,37.5,16.67,58.33,25.0
25,tijera,tijera,Empate,0,0,0,0,28.0,32.0,40.0,16.0,56.0,28.0
26,piedra,tijera,Victoria,1,0,0,1,30.77,30.77,38.46,15.38,53.85,30.77
27,piedra,piedra,Empate,0,0,0,0,33.33,29.63,37.04,18.52,51.85,29.63
28,papel,piedra,Victoria,1,0,0,1,32.14,32.14,35.71,21.43,50.0,28.57
29,tijera,papel,Victoria,2,0,0,2,31.03,31.03,37.93,20.69,51.72,27.59
30,tijera,tijera,Empate,0,0,0,0,30.0,30.0,40.0,20.0,50.0,30.0
31,papel,tijera,Derrota,0,1,1,0,29.03,32.26,38.71,19.35,48.39,32.26
32,papel,papel,Empate,0,0,0,0,28.12,34.38,37.5,18.75,50.0,31.25
33,piedra,papel,Derrota,0,1,1,0,30.3,33.33,36.36,18.18,51.52,30.3
34,tijera,piedra,Derrota,0,2,2,0,29.41,32.35,38.24,20.59,50.0,29.41
35,tijera,tijera,Empate,0,0,0,0,28.57,31.43,40.0,20.0,48.57,31.43
36,papel,tijera,Derrota,0,1,1,0,27.78,33.33,38.89,19.44,47.22,33.33
37,piedra,papel,Derrota,0,2,2,0,29.73,32.43,37.84,18.92,48.65,32.43
38,tijera,piedra,Derrota,0,3,3,0,28.95,31.58,39.47,21.05,47.37,31.58
39,papel,tijera,Derrota,0,4,4,0,28.21,33.33,38.46,20.51,46.15,33.33
40,piedra,papel,Derrota,0,5,5,0,30.0,32.5,37.5,20.0,47.5,32.5
41,tijera,piedra,Derrota,0,6,6,0,29.27,31.71,39.02,21.95,46.34,31.71
42,tijera,tijera,Empate,0,0,0,0,28.57,30.95,40.48,21.43,45.24,33.33
43,papel,tijera,Derrota,0,1,1,0,27.91,32.56,39.53,20.93,44.19,34.88
44,piedra,papel,Derrota,0,2,2,0,29.55,31.82,38.64,20.45,45.45,34.09
45,tijera,piedra,Derrota,0,3,3,0,28.89,31.11,40.0,22.22,44.44,33.33
46,papel,tijera,Derrota,0,4,4,0,28.26,32.61,39.13,21.74,43.48,34.78
47,piedra,papel,Derrota,0,5,5,0,29.79,31.91,38.3,21.28,44.68,34.04
48,piedra,piedra,Empate,0,0,0,0,31.25,31.25,37.5,22.92,43.75,33.33
49,tijera,piedra,Derrota,0,1,1,0,30.61,30.61,38.78,24.49,42.86,32.65
50,papel,tijera,Derrota,0,2,2,0,30.0,32.0,38.0,24.0,42.0,34.0
